,ward,TIME_TO_CLOSE
0,1,187.67848039215687
1,10,136.49143990929704
2,11,99.41660947712417
3,12,116.09010638297872
4,13,292.9928853046595
5,14,109.76773232323232
6,15,246.234301994302
7,16,159.0339533730159
8,17,307.6407013888889
9,18,260.06972222222225
10,19,200.22583333333333
11,2,126.60332304526749
12,20,128.77025793650793
13,21,209.3467970521542
14,22,137.75773148148147
15,23,153.4498563218391
16,24,200.15651808785532
17,25,135.7344222222222
18,26,188.73649305555554
19,27,176.50276643990932
20,28,3.55971045751634
21,29,166.22996632996632
22,3,78.11953703703703
23,30,213.70097701149427
24,31,189.40845410628017
25,32,171.11618589743588
26,33,156.91699074074074
27,34,121.9918376068376
28,35,154.7801219512195
29,36,296.0991820987654
30,37,255.9978872053872
31,38,252.33908730158734
32,39,198.22522946859903
33,4,91.30200483091787
34,40,148.35721354166668
35,41,10.487107804232803
36,42,90.87910947712419
37,43,89.4725925925926
38,44,253.3772800925926
39,45,156.51250712250712
40,46,83.1641746031746
41,47,147.451875
42,48,88.25371527777777
43,49,86.20112654320988
44,5,172.7831763285024
45,50,136.04743589743592
46,6,155.12922364672363
47,7,98.21723723723723
48,8,219.35263257575755
49,9,187.11268696581195
